Food,Meal_Type,Diet_Type,Calories,Protein_g,Carbs_g,Fat_g
Broccoli,Dinner,Veg,92,6.73,73.47,14.87
Apple,Snack,Veg,378,6.0,19.6,17.66
Brown Rice,Dinner,Veg,528,18.37,38.69,29.96
Brown Rice,Lunch,Veg,158,17.31,66.35,17.09
Sweet Potato,Breakfast,Veg,315,23.79,27.32,21.93
Broccoli,Lunch,Veg,428,15.85,40.15,13.71
Tofu,Snack,Veg,167,10.0,44.71,3.74
Chicken Breast,Breakfast,Non-Veg,210,27.59,19.81,27.67
Eggs,Lunch,Non-Veg,563,38.85,43.63,13.61
Peanuts,Lunch,Veg,336,30.11,19.13,10.05
Carrot,Snack,Veg,102,30.72,18.25,24.86
Carrot,Lunch,Veg,356,20.06,79.01,14.49
Milk,Breakfast,Veg,196,19.08,8.41,20.35
Sweet Potato,Dinner,Veg,409,10.88,30.21,27.74
Chickpeas,Breakfast,Veg,106,13.88,60.76,29.09
Almonds,Breakfast,Veg,308,8.2,70.39,26.19
Banana,Dinner,Veg,549,14.84,21.76,28.81
Orange,Breakfast,Veg,99,30.03,15.78,17.66
Tofu,Breakfast,Veg,332,21.69,67.25,4.96
Oats,Breakfast,Veg,263,28.86,57.69,29.81
Eggs,Snack,Non-Veg,277,32.52,36.7,4.42
Banana,Snack,Veg,524,21.64,31.43,28.36
Avocado,Snack,Veg,85,34.85,50.02,11.14
Lentils,Snack,Veg,558,30.62,26.39,1.41
Eggs,Breakfast,Non-Veg,72,9.22,31.66,20.72
Avocado,Lunch,Veg,126,36.89,77.83,15.78
Peanuts,Snack,Veg,280,2.88,58.44,10.6
Paneer,Dinner,Veg,312,13.94,38.67,16.19
Tofu,Dinner,Veg,600,27.91,24.21,12.08
Carrot,Dinner,Veg,249,5.12,78.52,13.09
Quinoa,Dinner,Veg,522,8.28,52.75,26.99
Paneer,Lunch,Veg,510,4.47,6.25,9.37
Salmon,Lunch,Non-Veg,387,32.28,40.85,26.17
Almonds,Snack,Veg,418,30.94,31.12,3.77
Avocado,Lunch,Veg,498,39.86,61.9,20.91
Peanuts,Dinner,Veg,94,14.6,18.87,27.41
Lentils,Snack,Veg,303,34.24,31.4,18.73
Yogurt,Dinner,Veg,558,2.0,70.69,29.96
Banana,Dinner,Veg,81,36.63,28.88,12.29
Tofu,Dinner,Veg,63,30.5,75.55,7.16
Banana,Dinner,Veg,428,28.75,19.93,12.03
Oats,Lunch,Veg,482,39.67,66.14,7.04
Peanuts,Snack,Veg,233,39.53,64.47,5.89
Salmon,Dinner,Non-Veg,175,31.89,70.14,5.3
Chicken Breast,Dinner,Non-Veg,490,36.45,32.68,23.87
Brown Rice,Lunch,Veg,515,4.39,71.93,12.47
Apple,Dinner,Veg,94,14.01,6.22,21.7
Paneer,Lunch,Veg,239,33.69,17.81,19.25
Yogurt,Breakfast,Veg,83,1.68,33.99,23.81
Sweet Potato,Breakfast,Veg,303,37.52,33.71,24.92
Milk,Lunch,Veg,244,22.08,46.99,27.12
Salmon,Dinner,Non-Veg,513,22.96,9.53,7.61
Brown Rice,Dinner,Veg,233,14.66,11.32,12.71
Brown Rice,Dinner,Veg,568,23.56,22.45,15.75
Sweet Potato,Snack,Veg,210,2.5,56.7,5.14
Paneer,Lunch,Veg,395,18.07,37.85,19.42
Orange,Dinner,Veg,529,12.05,61.96,8.31
Banana,Snack,Veg,115,10.75,78.96,6.98
Apple,Snack,Veg,286,18.44,65.88,25.85
Banana,Breakfast,Veg,74,33.31,8.51,4.62
Sweet Potato,Lunch,Veg,324,14.41,70.88,3.6
Milk,Breakfast,Veg,367,27.52,43.26,16.3
Sweet Potato,Breakfast,Veg,137,24.18,48.22,11.21
Oats,Snack,Veg,52,9.03,74.54,29.21
Carrot,Breakfast,Veg,464,4.31,25.01,18.25
Eggs,Dinner,Non-Veg,448,38.32,71.72,13.2
Lentils,Lunch,Veg,331,6.64,78.66,20.15
Oats,Dinner,Veg,396,16.58,7.56,15.14
Almonds,Dinner,Veg,154,10.95,61.63,21.42
Paneer,Dinner,Veg,435,32.76,41.18,17.31
Eggs,Dinner,Non-Veg,331,23.13,43.2,7.65
Avocado,Breakfast,Veg,597,8.48,54.38,22.66
Quinoa,Snack,Veg,488,20.78,75.33,4.52
Lentils,Snack,Veg,279,30.63,56.81,28.68
Broccoli,Lunch,Veg,60,22.86,23.79,1.17
Quinoa,Snack,Veg,249,7.68,47.58,11.52
Brown Rice,Dinner,Veg,454,10.73,27.85,26.26
Lentils,Lunch,Veg,289,7.92,74.86,12.18
Orange,Dinner,Veg,463,8.19,47.73,13.02
Sweet Potato,Snack,Veg,520,15.37,71.75,23.61
Orange,Breakfast,Veg,365,28.15,49.36,14.53
Lentils,Dinner,Veg,479,6.97,14.35,14.83
Avocado,Breakfast,Veg,379,24.91,12.9,14.59
Tofu,Snack,Veg,226,25.75,17.8,7.22
Milk,Dinner,Veg,121,17.98,20.91,18.19
Chicken Breast,Lunch,Non-Veg,490,35.57,17.4,16.1
Oats,Dinner,Veg,465,38.92,77.06,15.87
Chickpeas,Dinner,Veg,59,25.75,13.29,22.98
Almonds,Breakfast,Veg,305,18.11,49.72,24.49
Spinach,Snack,Veg,284,4.13,13.59,20.41
Chickpeas,Snack,Veg,375,16.39,12.44,8.09
Chicken Breast,Snack,Non-Veg,527,32.86,18.83,14.51
Apple,Lunch,Veg,198,36.18,26.01,4.9
Salmon,Snack,Non-Veg,510,26.52,14.47,10.31
Salmon,Dinner,Non-Veg,281,19.67,21.0,6.54
Brown Rice,Lunch,Veg,156,28.32,36.34,19.82
Brown Rice,Dinner,Veg,468,5.99,69.89,3.27
Chicken Breast,Snack,Non-Veg,414,24.57,15.62,13.08
Banana,Dinner,Veg,585,18.47,62.46,5.59
Oats,Snack,Veg,580,35.09,65.72,21.84
Oats,Lunch,Veg,580,7.31,79.1,4.62
Chickpeas,Snack,Veg,472,21.47,14.07,19.23
Yogurt,Lunch,Veg,189,17.25,62.65,2.25
Avocado,Lunch,Veg,69,23.42,45.04,27.13
Apple,Dinner,Veg,146,36.46,28.82,1.93
Sweet Potato,Snack,Veg,350,12.71,14.49,27.38
Sweet Potato,Dinner,Veg,572,24.36,39.25,23.03
Banana,Dinner,Veg,220,18.58,13.35,27.83
Lentils,Snack,Veg,372,6.93,21.08,4.13
Quinoa,Lunch,Veg,70,18.14,40.76,3.27
Milk,Breakfast,Veg,387,36.39,48.1,15.29
Broccoli,Breakfast,Veg,559,10.31,42.31,15.63
Lentils,Breakfast,Veg,215,7.14,36.73,26.05
Chicken Breast,Lunch,Non-Veg,160,14.13,44.96,25.38
Almonds,Snack,Veg,514,18.12,26.33,1.27
Yogurt,Breakfast,Veg,229,29.43,20.19,25.61
Quinoa,Snack,Veg,523,28.87,18.04,3.58
Milk,Snack,Veg,158,13.09,52.58,9.97
Banana,Breakfast,Veg,565,22.73,35.68,10.61
Lentils,Dinner,Veg,597,32.76,68.07,7.38
Milk,Lunch,Veg,453,22.39,12.37,10.69
Quinoa,Lunch,Veg,485,22.14,14.05,15.45
Lentils,Breakfast,Veg,52,22.77,65.12,10.61
Lentils,Breakfast,Veg,260,16.83,30.63,3.36
Paneer,Breakfast,Veg,70,10.82,5.2,19.19
Salmon,Dinner,Non-Veg,273,35.07,12.18,8.72
Oats,Lunch,Veg,394,27.65,51.64,1.99
Peanuts,Dinner,Veg,531,38.26,50.66,27.34
Yogurt,Snack,Veg,513,12.41,60.34,24.62
Paneer,Breakfast,Veg,370,32.09,34.78,8.45
Banana,Breakfast,Veg,149,13.28,68.23,20.74
Broccoli,Snack,Veg,181,17.38,61.33,12.96
Avocado,Breakfast,Veg,559,17.49,61.78,15.34
Spinach,Dinner,Veg,293,14.9,7.24,11.32
Oats,Lunch,Veg,168,22.1,70.26,28.22
Brown Rice,Dinner,Veg,599,23.32,40.2,12.16
Tofu,Snack,Veg,282,35.2,55.78,8.71
Tofu,Breakfast,Veg,512,3.45,79.36,11.45
Peanuts,Snack,Veg,576,17.1,45.41,24.01
Yogurt,Lunch,Veg,428,1.1,21.66,10.13
Salmon,Lunch,Non-Veg,462,34.52,45.98,14.59
Salmon,Snack,Non-Veg,513,31.0,48.46,21.74
Sweet Potato,Snack,Veg,590,30.1,53.26,15.97
Banana,Snack,Veg,89,38.76,24.14,12.41
Almonds,Lunch,Veg,133,39.12,59.49,26.15
Apple,Dinner,Veg,441,16.9,74.34,6.57
Tofu,Lunch,Veg,237,22.94,57.52,6.6
Spinach,Dinner,Veg,205,26.71,57.09,26.85
Broccoli,Dinner,Veg,110,34.97,70.1,21.18
Paneer,Lunch,Veg,106,20.06,16.08,2.72
Paneer,Dinner,Veg,599,30.61,15.48,27.25
Spinach,Breakfast,Veg,239,20.41,15.75,11.11
Carrot,Dinner,Veg,301,23.91,20.81,7.67
Apple,Snack,Veg,590,10.75,8.72,4.36
Salmon,Breakfast,Non-Veg,342,34.97,45.21,7.53
Banana,Lunch,Veg,260,15.18,55.61,2.54
Paneer,Lunch,Veg,575,21.79,34.78,7.96
Apple,Breakfast,Veg,553,33.86,46.67,3.0
Milk,Lunch,Veg,136,38.97,59.96,8.75
Salmon,Lunch,Non-Veg,458,34.45,75.67,11.73
Tofu,Dinner,Veg,411,21.68,69.73,23.13
Chicken Breast,Breakfast,Non-Veg,371,19.51,36.9,3.82
Chickpeas,Breakfast,Veg,303,10.33,56.93,7.71
Broccoli,Breakfast,Veg,317,29.34,53.77,28.44
Spinach,Dinner,Veg,435,8.58,32.87,28.56
Milk,Dinner,Veg,252,19.05,75.31,17.59
Brown Rice,Snack,Veg,562,38.49,14.84,16.92
Quinoa,Breakfast,Veg,358,13.01,46.18,4.49
Lentils,Dinner,Veg,326,31.99,31.5,19.76
Peanuts,Breakfast,Veg,430,25.61,23.78,26.78
Tofu,Snack,Veg,142,5.79,64.92,3.65
Banana,Dinner,Veg,164,11.06,54.22,17.41
Apple,Snack,Veg,107,11.79,51.4,28.34
Orange,Lunch,Veg,518,14.45,37.35,29.25
Avocado,Dinner,Veg,191,18.56,68.01,19.31
Salmon,Dinner,Non-Veg,163,20.98,11.3,24.3
Sweet Potato,Dinner,Veg,561,4.85,24.81,16.91
Orange,Snack,Veg,320,31.86,38.26,4.57
Carrot,Lunch,Veg,284,20.62,69.02,16.54
Oats,Snack,Veg,432,26.1,69.94,6.3
Paneer,Dinner,Veg,424,8.63,66.09,25.02
Orange,Lunch,Veg,472,3.04,32.13,1.96
Carrot,Dinner,Veg,111,6.78,30.5,13.01
Lentils,Lunch,Veg,529,30.5,23.1,29.25
Lentils,Breakfast,Veg,590,26.8,9.16,19.43
Spinach,Lunch,Veg,83,29.71,67.91,29.77
Almonds,Snack,Veg,596,4.57,60.92,27.76
Apple,Lunch,Veg,407,31.67,53.43,27.09
Spinach,Lunch,Veg,88,7.08,55.89,24.7
Banana,Snack,Veg,168,12.56,38.44,21.59
Carrot,Dinner,Veg,381,26.86,37.16,19.65
Almonds,Breakfast,Veg,521,9.83,45.67,3.31
Avocado,Snack,Veg,260,22.93,64.32,6.3
Paneer,Snack,Veg,551,33.55,23.98,24.15
Chickpeas,Breakfast,Veg,369,21.91,20.93,29.2
Oats,Lunch,Veg,414,11.38,50.67,15.43
Paneer,Breakfast,Veg,211,2.65,49.51,26.16
Spinach,Dinner,Veg,102,34.6,38.36,24.76
Banana,Lunch,Veg,481,36.74,61.77,3.96
Almonds,Lunch,Veg,561,13.85,8.49,19.85
Banana,Snack,Veg,119,25.95,7.96,4.6
Yogurt,Breakfast,Veg,65,35.22,59.97,17.32
Banana,Snack,Veg,600,15.68,43.17,16.21
Paneer,Snack,Veg,333,24.02,21.64,17.18
Peanuts,Snack,Veg,100,1.22,43.19,4.03
Eggs,Snack,Non-Veg,256,1.58,74.77,16.34
Tofu,Dinner,Veg,433,27.34,12.53,2.53
Apple,Dinner,Veg,573,26.68,71.61,4.5
Lentils,Breakfast,Veg,173,34.86,7.65,29.85
Spinach,Lunch,Veg,284,12.13,64.0,29.35
Paneer,Lunch,Veg,370,36.57,54.41,21.76
Milk,Lunch,Veg,83,23.53,39.52,29.42
Chicken Breast,Lunch,Non-Veg,113,2.18,9.85,8.83
Spinach,Dinner,Veg,325,29.87,14.74,2.42
Orange,Dinner,Veg,134,32.26,24.45,18.19
Quinoa,Snack,Veg,237,14.49,31.38,21.48
Eggs,Snack,Non-Veg,301,23.59,18.32,18.67
Oats,Lunch,Veg,195,21.98,50.76,16.28
Paneer,Lunch,Veg,392,1.12,27.37,6.18
Salmon,Dinner,Non-Veg,590,17.86,19.15,10.55
Almonds,Lunch,Veg,279,28.8,24.33,6.87
Eggs,Snack,Non-Veg,543,10.05,46.18,15.19
Peanuts,Lunch,Veg,278,11.69,60.59,13.08
Spinach,Breakfast,Veg,163,28.45,54.6,27.42
Avocado,Dinner,Veg,498,32.34,34.24,21.48
Avocado,Snack,Veg,500,23.08,19.19,22.27
Milk,Breakfast,Veg,389,29.35,43.78,24.05
Avocado,Snack,Veg,178,20.62,68.42,2.34
Orange,Dinner,Veg,273,36.28,38.44,23.96
Eggs,Dinner,Non-Veg,411,18.65,56.85,7.46
Apple,Dinner,Veg,84,8.66,22.67,20.63
Tofu,Dinner,Veg,325,20.84,63.06,26.88
Lentils,Snack,Veg,65,8.75,52.78,19.07
Lentils,Snack,Veg,106,25.25,53.87,22.66
Broccoli,Snack,Veg,361,38.82,12.12,5.24
Tofu,Breakfast,Veg,193,23.57,20.44,7.55
Sweet Potato,Lunch,Veg,426,4.51,27.68,2.07
Lentils,Lunch,Veg,370,39.72,51.16,14.72
Orange,Breakfast,Veg,359,25.77,31.03,23.82
Almonds,Lunch,Veg,124,36.02,74.17,14.7
Spinach,Breakfast,Veg,340,29.5,54.6,4.6
Spinach,Breakfast,Veg,564,29.29,76.37,1.86
Broccoli,Snack,Veg,529,2.72,72.54,2.97
Yogurt,Breakfast,Veg,50,3.12,7.42,18.72
Orange,Snack,Veg,193,26.63,77.41,25.78
Apple,Breakfast,Veg,518,21.19,19.15,9.37
Avocado,Dinner,Veg,380,7.44,9.91,29.73
Eggs,Dinner,Non-Veg,294,33.41,79.06,17.64
Avocado,Dinner,Veg,503,14.79,76.14,13.63
Lentils,Lunch,Veg,122,18.71,47.82,1.78
Apple,Snack,Veg,288,13.4,65.88,7.85
Yogurt,Breakfast,Veg,478,15.49,79.12,11.58
Orange,Dinner,Veg,561,39.33,13.33,4.05
Banana,Lunch,Veg,78,26.44,74.54,2.43
Eggs,Snack,Non-Veg,168,23.17,26.49,17.46
Salmon,Dinner,Non-Veg,379,24.7,69.49,7.86
Orange,Lunch,Veg,497,21.33,19.69,26.24
Banana,Breakfast,Veg,239,35.64,28.88,12.56
Spinach,Snack,Veg,301,30.49,54.34,22.15
Quinoa,Dinner,Veg,138,25.82,47.35,21.88
Milk,Breakfast,Veg,61,27.69,71.13,11.58
Almonds,Dinner,Veg,516,17.53,53.09,21.04
Avocado,Breakfast,Veg,366,19.94,14.28,7.59
Almonds,Lunch,Veg,440,1.65,78.92,26.39
Tofu,Lunch,Veg,412,5.39,74.62,15.25
Almonds,Lunch,Veg,376,16.61,39.76,22.2
Salmon,Dinner,Non-Veg,527,18.02,66.41,28.24
Eggs,Breakfast,Non-Veg,303,5.35,66.09,2.01
Avocado,Snack,Veg,407,27.21,67.75,18.92
Paneer,Dinner,Veg,440,23.97,54.65,18.68
Banana,Lunch,Veg,92,23.53,51.27,13.3
Spinach,Breakfast,Veg,214,25.45,36.07,14.24
Banana,Lunch,Veg,279,33.16,28.69,20.05
Oats,Snack,Veg,376,27.38,77.59,19.72
Carrot,Dinner,Veg,340,29.72,69.08,4.98
Chickpeas,Snack,Veg,195,29.62,16.02,18.36
Yogurt,Breakfast,Veg,80,17.27,45.59,18.38
Chicken Breast,Dinner,Non-Veg,310,23.58,43.5,25.46
Spinach,Snack,Veg,382,37.63,62.44,20.9
Lentils,Snack,Veg,274,35.82,79.75,2.72
Chickpeas,Breakfast,Veg,146,22.93,15.53,14.75
Apple,Dinner,Veg,318,27.26,64.18,8.64
Paneer,Breakfast,Veg,512,27.42,19.46,9.81
Spinach,Snack,Veg,58,10.32,73.56,2.86
Broccoli,Dinner,Veg,350,36.32,50.44,4.86
Banana,Lunch,Veg,290,5.26,23.46,18.06
Orange,Breakfast,Veg,547,2.86,28.73,7.8
Peanuts,Lunch,Veg,346,1.91,49.18,18.03
Carrot,Breakfast,Veg,377,25.68,33.07,26.88
Oats,Lunch,Veg,284,4.45,58.33,17.7
Yogurt,Dinner,Veg,114,38.9,42.74,27.47
Sweet Potato,Breakfast,Veg,555,1.24,45.66,17.27
Paneer,Dinner,Veg,560,26.93,21.12,11.94
Spinach,Lunch,Veg,69,21.2,63.31,9.18
Paneer,Snack,Veg,465,37.73,19.46,21.26
Brown Rice,Snack,Veg,472,33.91,31.82,19.58
Chicken Breast,Dinner,Non-Veg,461,10.04,77.66,10.6
Yogurt,Lunch,Veg,215,3.56,74.57,6.41
Brown Rice,Dinner,Veg,289,27.48,75.09,17.61
Salmon,Lunch,Non-Veg,348,13.23,22.95,14.83
Spinach,Dinner,Veg,281,29.95,62.22,24.53
Lentils,Snack,Veg,547,19.95,14.67,17.47
Eggs,Dinner,Non-Veg,404,35.97,59.04,28.71
Apple,Snack,Veg,441,26.92,23.44,5.47
Chicken Breast,Dinner,Non-Veg,586,25.9,29.28,28.88
Yogurt,Lunch,Veg,433,21.52,16.1,4.99
Oats,Dinner,Veg,553,22.86,10.71,8.5
Quinoa,Snack,Veg,469,30.36,25.48,4.28
Banana,Snack,Veg,268,3.36,65.44,20.11
Brown Rice,Dinner,Veg,440,7.29,35.68,13.28
Paneer,Breakfast,Veg,371,31.03,45.23,5.08
Quinoa,Dinner,Veg,528,16.68,41.88,2.3
Broccoli,Snack,Veg,152,2.93,74.2,29.37
Banana,Lunch,Veg,117,34.13,42.26,5.07
Chickpeas,Dinner,Veg,376,35.7,33.97,5.7
Yogurt,Dinner,Veg,258,11.71,67.45,24.2
Broccoli,Breakfast,Veg,260,25.37,43.77,3.33
Chicken Breast,Breakfast,Non-Veg,280,16.54,18.81,25.37
Almonds,Snack,Veg,231,5.51,57.29,23.89
Avocado,Lunch,Veg,389,12.5,52.97,26.8
Brown Rice,Breakfast,Veg,182,16.25,55.18,6.09
Sweet Potato,Dinner,Veg,400,12.55,59.56,2.44
Orange,Dinner,Veg,468,21.74,40.04,20.4
Chickpeas,Snack,Veg,552,6.85,7.1,20.06
Banana,Breakfast,Veg,400,28.79,62.08,2.9
Lentils,Breakfast,Veg,388,38.15,14.56,26.66
Orange,Breakfast,Veg,309,24.22,12.08,10.54
Spinach,Dinner,Veg,344,38.76,34.03,10.16
Lentils,Lunch,Veg,292,15.3,42.75,21.17
Tofu,Breakfast,Veg,325,35.85,63.97,8.51
Paneer,Dinner,Veg,255,4.46,64.11,12.18
Milk,Dinner,Veg,324,31.33,49.94,23.17
Chicken Breast,Breakfast,Non-Veg,181,16.29,17.11,17.97
Banana,Dinner,Veg,80,5.11,25.05,22.67
Orange,Snack,Veg,310,4.24,61.58,29.71
Quinoa,Breakfast,Veg,507,24.28,5.56,29.39
Milk,Snack,Veg,109,35.65,66.29,11.13
Quinoa,Dinner,Veg,125,30.07,68.27,3.94
Lentils,Dinner,Veg,182,15.38,47.95,16.62
Paneer,Dinner,Veg,258,26.26,6.06,13.55
Brown Rice,Snack,Veg,596,22.91,36.44,16.92
Yogurt,Dinner,Veg,319,33.14,72.49,11.59
Tofu,Lunch,Veg,251,18.85,73.44,20.06
Tofu,Breakfast,Veg,119,17.84,36.11,11.76
Sweet Potato,Breakfast,Veg,307,26.65,49.66,25.38
Oats,Breakfast,Veg,485,20.3,24.6,28.71
Peanuts,Dinner,Veg,130,5.27,68.7,20.68
Orange,Breakfast,Veg,106,12.67,64.06,24.18
Avocado,Breakfast,Veg,192,21.63,23.11,9.68
Spinach,Breakfast,Veg,295,4.55,30.91,6.01
Carrot,Breakfast,Veg,147,5.23,26.26,13.03
Avocado,Dinner,Veg,66,5.0,58.61,20.31
Banana,Lunch,Veg,265,9.51,53.91,4.9
Eggs,Lunch,Non-Veg,580,36.22,32.34,17.65
Salmon,Snack,Non-Veg,59,3.83,23.1,3.37
Spinach,Dinner,Veg,329,28.67,40.49,18.27
Broccoli,Breakfast,Veg,530,2.1,13.08,5.36
Sweet Potato,Breakfast,Veg,316,18.88,36.04,10.5
Chickpeas,Snack,Veg,321,18.93,27.42,23.08
Salmon,Dinner,Non-Veg,283,30.4,14.78,29.29
Peanuts,Lunch,Veg,408,12.99,61.73,21.28
Salmon,Lunch,Non-Veg,561,30.51,16.85,18.74
Peanuts,Dinner,Veg,83,7.6,5.3,19.86
Banana,Lunch,Veg,599,8.9,77.24,7.12
Peanuts,Dinner,Veg,440,11.21,73.41,1.47
Broccoli,Lunch,Veg,380,6.45,74.54,30.0
Quinoa,Breakfast,Veg,79,37.27,19.51,21.04
Oats,Dinner,Veg,528,16.42,57.77,7.24
Chickpeas,Breakfast,Veg,162,28.66,28.27,15.24
Broccoli,Snack,Veg,109,25.06,8.82,7.97
Paneer,Snack,Veg,189,5.79,49.48,9.54
Almonds,Dinner,Veg,485,15.55,62.45,10.76
Quinoa,Snack,Veg,100,25.2,59.0,13.32
Lentils,Dinner,Veg,357,7.95,61.88,24.91
Paneer,Dinner,Veg,214,17.23,31.16,7.99
Chickpeas,Snack,Veg,69,5.5,62.5,11.69
Apple,Dinner,Veg,242,8.09,30.21,6.87
Milk,Snack,Veg,462,36.52,8.57,12.74
Paneer,Snack,Veg,200,9.09,52.77,19.34
Tofu,Lunch,Veg,87,2.56,13.14,6.39
Paneer,Breakfast,Veg,237,7.72,18.58,24.82
Quinoa,Dinner,Veg,339,36.17,42.31,26.42
Chicken Breast,Dinner,Non-Veg,191,11.98,64.4,18.95
Almonds,Breakfast,Veg,212,34.31,29.87,3.98
Eggs,Snack,Non-Veg,541,3.81,65.3,20.43
Broccoli,Breakfast,Veg,218,11.21,30.81,4.65
Carrot,Dinner,Veg,132,35.37,57.47,24.35
